set,pot,depth,n_sablefish,disposition,treatment
11,26,339,11,not_tagged,Green
11,27,339,37,not_tagged,Purple
11,28,339,34,not_tagged,Blue
11,29,338,15,not_tagged,Yellow
11,30,336,36,not_tagged,Green
11,31,334,36,not_tagged,Purple
11,32,334,56,not_tagged,Blue
11,33,334,25,not_tagged,Yellow
11,34,334,12,not_tagged,Green
11,35,333,23,not_tagged,Purple
11,36,333,51,not_tagged,Blue
11,37,333,15,not_tagged,Yellow
11,38,333,21,not_tagged,Green
11,39,333,43,not_tagged,Purple
11,40,333,55,not_tagged,Blue
12,1,363,6,not_tagged,Blue
12,2,364,2,not_tagged,Purple
12,3,364,7,not_tagged,Green
12,4,364,14,not_tagged,Yellow
12,5,365,34,not_tagged,Blue
12,6,365,1,not_tagged,Purple
12,7,365,15,not_tagged,Green
12,8,365,9,not_tagged,Yellow
12,9,365,40,not_tagged,Blue
12,10,366,33,not_tagged,Purple
12,11,366,7,not_tagged,Green
12,12,367,14,not_tagged,Yellow
12,13,367,7,tagged,Blue
12,14,367,3,tagged,Purple
12,15,368,15,tagged,Green
12,16,368,2,tagged,Yellow
12,17,369,14,tagged,Blue
12,18,369,43,tagged,Purple
12,19,370,24,tagged,Green
12,20,371,11,tagged,Yellow
12,21,371,33,tagged,Blue
12,22,372,86,tagged,Purple
12,23,372,28,tagged,Green
12,24,373,22,tagged,Yellow
12,25,373,34,tagged,Blue
12,26,374,24,tagged,Purple
12,27,374,33,tagged,Green
12,28,375,9,tagged,Yellow
12,29,375,3,tagged,Blue
12,30,376,19,tagged,Purple
12,31,376,23,tagged,Green
12,32,376,24,tagged,Yellow
12,33,376,40,tagged,Blue
12,34,376,6,tagged,Purple
12,35,376,14,tagged,Green
12,36,376,19,tagged,Yellow
12,37,376,31,tagged,Blue
12,38,377,12,tagged,Purple
12,39,377,53,tagged,Green
12,40,377,9,tagged,Yellow
13,1,360,6,tagged,Yellow
13,2,363,21,tagged,Green
13,3,365,6,tagged,Purple
13,4,367,4,tagged,Blue
13,5,369,5,tagged,Yellow
13,6,371,2,tagged,Green
13,7,373,14,tagged,Purple
13,8,376,16,tagged,Blue
13,9,378,7,tagged,Yellow
13,10,381,6,tagged,Green
13,11,384,4,tagged,Purple
13,12,387,21,tagged,Blue
13,13,389,10,tagged,Yellow
13,14,389,0,tagged,Green
13,15,390,13,tagged,Purple
13,16,391,22,tagged,Blue
13,17,391,1,tagged,Yellow
13,18,392,9,tagged,Green
13,19,392,10,tagged,Purple
13,20,392,14,tagged,Blue
13,21,393,10,tagged,Yellow
13,22,393,10,tagged,Green
13,23,393,50,tagged,Purple
13,24,393,12,tagged,Blue
13,25,393,14,tagged,Yellow
13,26,393,4,tagged,Green
13,27,394,19,tagged,Purple
13,28,394,6,tagged,Blue
13,29,394,12,tagged,Yellow
13,30,394,18,tagged,Green
13,31,394,6,tagged,Purple
13,32,395,8,tagged,Blue
13,33,396,9,tagged,Yellow
13,34,397,17,tagged,Green
13,35,398,9,tagged,Purple
13,36,398,13,tagged,Blue
13,37,398,19,tagged,Yellow
13,38,398,10,tagged,Green
13,39,398,1,tagged,Purple
13,40,397,16,tagged,Blue
14,1,332,40,tagged,Blue
14,2,331,8,tagged,Purple
14,3,330,12,tagged,Green
14,4,330,14,tagged,Yellow
14,5,328,23,tagged,Blue
14,6,328,18,tagged,Purple
14,7,328,10,tagged,Green
14,8,327,39,tagged,Yellow
14,9,327,21,tagged,Blue
14,10,327,12,tagged,Purple
14,11,327,22,tagged,Green
14,12,327,9,tagged,Yellow
14,13,327,52,tagged,Blue
14,14,326,13,tagged,Purple
14,15,326,7,tagged,Green
14,16,325,25,tagged,Yellow
14,17,324,14,tagged,Blue
14,18,324,22,tagged,Purple
14,19,323,6,tagged,Green
14,20,322,5,tagged,Yellow
14,21,321,6,tagged,Blue
14,22,319,26,tagged,Purple
14,23,318,4,tagged,Green
14,24,317,8,tagged,Yellow
14,25,315,8,tagged,Blue
14,26,314,5,tagged,Purple
14,27,313,8,tagged,Green
14,28,313,9,tagged,Yellow
14,29,311,24,tagged,Blue
14,30,310,24,tagged,Purple
14,31,309,10,tagged,Green
14,32,308,28,tagged,Yellow
14,33,308,25,tagged,Blue
14,34,307,21,tagged,Purple
14,35,306,25,tagged,Green
14,36,305,11,tagged,Yellow
14,37,305,33,tagged,Blue
14,38,303,23,tagged,Purple
14,39,303,35,tagged,Green
14,40,302,12,tagged,Yellow
15,1,321,13,tagged,Yellow
15,2,321,10,tagged,Green
15,3,321,35,tagged,Purple
15,4,321,32,tagged,Blue
15,5,321,20,tagged,Yellow
15,6,321,2,tagged,Green
15,7,321,22,tagged,Purple
15,8,321,8,tagged,Blue
15,9,321,12,tagged,Yellow
15,10,321,40,tagged,Green
15,11,321,27,tagged,Purple
15,12,319,22,tagged,Blue
15,13,319,16,tagged,Yellow
15,14,318,37,tagged,Green
15,15,318,48,tagged,Purple
15,16,317,26,tagged,Blue
15,17,317,18,tagged,Yellow
15,18,317,10,tagged,Green
15,19,317,23,tagged,Purple
15,20,317,10,tagged,Blue
15,21,316,15,tagged,Yellow
15,22,316,10,tagged,Green
15,23,315,11,tagged,Purple
15,24,315,12,tagged,Blue
15,25,314,14,tagged,Yellow
15,26,313,38,tagged,Green
15,27,313,24,tagged,Purple
15,28,311,18,tagged,Blue
15,29,311,24,tagged,Yellow
15,30,310,22,tagged,Green
15,31,309,22,tagged,Purple
15,32,309,36,tagged,Blue
15,33,308,18,tagged,Yellow
15,34,308,12,tagged,Green
15,35,307,47,tagged,Purple
15,36,306,10,tagged,Blue
15,37,306,19,not_tagged,Yellow
15,38,305,34,not_tagged,Green
15,39,305,21,not_tagged,Purple
15,40,304,30,not_tagged,Blue
16,1,388,44,tagged,Blue
16,2,388,27,tagged,Purple
16,3,388,33,tagged,Green
16,4,388,21,tagged,Yellow
16,5,388,43,tagged,Blue
16,6,388,24,tagged,Purple
16,7,389,13,tagged,Green
16,8,390,17,tagged,Yellow
16,9,390,8,tagged,Blue
16,10,391,16,tagged,Purple
16,11,392,12,tagged,Green
16,12,392,15,tagged,Yellow
16,13,393,28,tagged,Blue
16,14,393,20,tagged,Purple
16,15,394,9,tagged,Green
16,16,394,13,tagged,Yellow
16,17,396,37,tagged,Blue
16,18,396,4,tagged,Purple
16,19,396,8,tagged,Green
16,20,396,16,tagged,Yellow
16,21,397,38,tagged,Blue
16,22,397,13,tagged,Purple
16,23,397,16,tagged,Green
16,24,397,4,tagged,Yellow
16,25,398,11,tagged,Blue
16,26,398,21,tagged,Purple
16,27,398,4,tagged,Green
16,28,398,2,tagged,Yellow
16,29,398,4,tagged,Blue
16,30,398,13,tagged,Purple
16,31,398,4,tagged,Green
16,32,398,15,tagged,Yellow
16,33,398,21,tagged,Blue
16,34,399,21,tagged,Purple
16,35,399,9,tagged,Green
16,36,399,25,tagged,Yellow
16,37,399,18,not_tagged,Blue
16,38,399,20,not_tagged,Purple
16,39,399,19,not_tagged,Green
16,40,400,11,not_tagged,Yellow
17,1,374,11,tagged,Blue
17,2,374,10,tagged,Purple
17,3,374,12,tagged,Green
17,4,374,25,tagged,Yellow
17,5,373,15,tagged,Blue
17,6,373,8,tagged,Purple
17,7,372,23,tagged,Green
17,8,372,5,tagged,Yellow
17,9,371,12,tagged,Blue
17,10,371,21,tagged,Purple
17,11,371,19,tagged,Green
17,12,370,18,tagged,Yellow
17,13,369,15,tagged,Blue
17,14,369,17,tagged,Purple
17,15,368,25,tagged,Green
17,16,368,13,tagged,Yellow
17,17,367,28,tagged,Blue
17,18,366,9,tagged,Purple
17,19,366,26,tagged,Green
17,20,365,12,tagged,Yellow
17,21,364,16,tagged,Blue
17,22,364,6,tagged,Purple
17,23,363,41,tagged,Green
17,24,363,27,tagged,Yellow
17,25,361,22,tagged,Blue
17,26,361,13,tagged,Purple
17,27,360,9,tagged,Green
17,28,360,14,tagged,Yellow
17,29,359,19,tagged,Blue
17,30,359,22,tagged,Purple
17,31,358,12,tagged,Green
17,32,358,7,tagged,Yellow
17,33,357,36,tagged,Blue
17,34,357,1,tagged,Purple
17,35,357,18,tagged,Green
17,36,357,46,tagged,Yellow
17,37,356,16,tagged,Blue
17,38,356,9,tagged,Purple
17,39,356,0,tagged,Green
17,40,356,3,tagged,Yellow
