Treatment,length_bin,mean,median,q025,q975
8.9 cm,60,0.8180933265534444,0.8179990064355569,0.7676166436569978,0.8678265512068348
8.9 cm,61,0.8459667438515304,0.8457796171276939,0.7991109049084945,0.8921456400583028
8.9 cm,62,0.8702013985383438,0.8700110449512228,0.8270368321769861,0.9131658778887631
8.9 cm,63,0.8910740179882469,0.890943764579827,0.8513069627235934,0.9302234833231477
8.9 cm,64,0.9089070921674623,0.9087915796779102,0.8725855072918619,0.9446159273074846
8.9 cm,65,0.9240404283871482,0.9239764156062145,0.8910408067513785,0.9560754330665202
8.9 cm,66,0.93681027004426,0.936982692562724,0.9068622051768697,0.9652186594069493
8.9 cm,67,0.9475352720125699,0.9477747782943995,0.9203563086342275,0.9725766129360389
8.9 cm,68,0.9565080962548766,0.9568263779749497,0.9322308049915613,0.9784055167418083
8.9 cm,69,0.9639912698758025,0.9643797037598585,0.9423955867750473,0.9830599532032779
8.9 cm,70,0.9702160603646629,0.9706237023361239,0.9510202281706782,0.9867407125282577
8.9 cm,71,0.9753833396068441,0.9758056127125705,0.9583698853288978,0.9896225597919737
8.9 cm,72,0.9796656477603254,0.9800960611494577,0.9644984217660266,0.9918446460482222
8.9 cm,73,0.9832098868607374,0.9836504487275407,0.969882188468226,0.9935917053297451
8.9 cm,74,0.9861402541114713,0.9865708412941623,0.9744062680259081,0.9949782771687711
8.9 cm,75,0.9885611631212254,0.9889657703470236,0.978293978010513,0.9960754394410569
8.9 cm,76,0.9905600020771287,0.9909460584318002,0.9815382792136742,0.9969306884375231
8.9 cm,77,0.9922096479334237,0.9925784201846936,0.9843249236103934,0.9976119619416673
8.9 cm,78,0.9935707023655802,0.9939152834398932,0.986732221943279,0.998138535930895
8.9 cm,79,0.9946934448306965,0.9950131410686249,0.9887356089507873,0.9985451977812972
8.9 cm,80,0.995619515688317,0.9959101186864752,0.9904527837213528,0.9988676085679808
8.9 cm,81,0.9963833518428075,0.9966472804704483,0.9919175471921575,0.9991132086796715
8.9 cm,82,0.9970134015860016,0.9972551794041188,0.9931595728800778,0.9993067367007559
8.9 cm,83,0.9975331462283514,0.9977531808887801,0.9941953783487413,0.9994576749214216
8.9 cm,84,0.997961955061232,0.9981580709812038,0.9950799054601462,0.9995755668195241
8.9 cm,85,0.9983157980898953,0.9984906967651206,0.9958265522613025,0.9996680543119714
8.9 cm,86,0.9986078383929147,0.9987668195212939,0.9964586887888731,0.999741530315235
8.9 cm,87,0.9988489232570223,0.9989904635388411,0.9969952958131548,0.9997987542604998
8.9 cm,88,0.9990479906159048,0.9991734993260852,0.997450676977917,0.99984328923685
8.9 cm,89,0.9992124049013148,0.999322852716289,0.9978428855052704,0.9998780021396753
8.9 cm,90,0.999348234247032,0.9994464969035921,0.9981743851327508,0.9999050043298481
8.9 cm,91,0.9994604790853472,0.9995477393185668,0.9984536520596234,0.9999260376231617
8.9 cm,92,0.9995532605344448,0.9996301047596128,0.9986889188343041,0.999942410974696
8.9 cm,93,0.9996299755739849,0.9996970564346399,0.998888405585486,0.9999551588506258
8.9 cm,94,0.9996934248205137,0.9997519911484054,0.9990575719133352,0.9999650524830789
8.9 cm,95,0.9997459177176203,0.9997972585392997,0.999199797860741,0.9999726450567321
8.9 cm,96,0.999789359122218,0.9998339775309554,0.9993196385843709,0.9999785650587143
8.9 cm,97,0.9998253205740764,0.9998641226057488,0.9994233554048091,0.9999832039017436
8.9 cm,98,0.9998550989593291,0.9998888107190589,0.9995113308511657,0.99998692230648345
8.9 cm,99,0.9998797648013148,0.9999089696203811,0.9995847815654051,0.9999898357494206
8.9 cm,100,0.9999002020175514,0.9999253652397146,0.9996477143917648,0.999992079689811
9.5 cm,10,4.319970340843793e-4,3.6444973218699537e-4,1.0075732391446452e-4,0.001178650443292761
9.5 cm,11,5.088452030616547e-4,4.3242553291496016e-4,1.2223183844126278e-4,0.001367840221378757
9.5 cm,12,5.994302997344025e-4,5.125989037764629e-4,1.4859381710602144e-4,0.0015839979234375412
9.5 cm,13,7.062178693385618e-4,6.078723241075118e-4,1.801813065779377e-4,0.0018462846789489662
9.5 cm,14,8.321170560718887e-4,7.20077799040233e-4,2.187270392891327e-4,0.002139501589770823
9.5 cm,15,9.805603298368873e-4,8.540469047807877e-4,2.656239466478701e-4,0.002487310400229342
9.5 cm,16,0.0011555974187583459,0.0010127822566407241,3.225460166088273e-4,0.0028921393992663185
9.5 cm,17,0.0013620059143302455,0.001201605693291799,3.9229804508679234e-4,0.0033391426739652614
9.5 cm,18,0.0016054214161124397,0.0014250427062657202,4.772524254364935e-4,0.003856848145129675
9.5 cm,19,0.0018924905358680595,0.0016873526103791821,5.798071228712248e-4,0.004478425884123133
9.5 cm,20,0.0022310505886500467,0.001999563335010654,7.079581648153453e-4,0.00518533498919863
9.5 cm,21,0.002630340359641192,0.0023705862140188027,8.615676269810347e-4,0.006016622966901233
9.5 cm,22,0.003101246945239855,0.0028071509684577927,0.0010473018410198228,0.006979923307745168
9.5 cm,23,0.0036565943130751643,0.0033268311366582612,0.001274133635313317,0.0080879793792731
9.5 cm,24,0.0043114798866462755,0.003942572917404165,0.0015479642632247495,0.009368911873720605
9.5 cm,25,0.00508366610022015,0.0046718996227817205,0.0018829805791566402,0.010883669846787403
9.5 cm,26,0.0059940344324006314,0.0055297135069532505,0.002287495602830364,0.012625040319532458
9.5 cm,27,0.007067109828083978,0.0065448633893620935,0.0027734864826396595,0.01460883941661935
9.5 cm,28,0.008331663535262258,0.007753567514508405,0.0033790395808910158,0.016897793671284567
9.5 cm,29,0.009821402039935687,0.00917257390312716,0.004105624074399718,0.01952315598150524
9.5 cm,30,0.011575748734633153,0.010847500384547196,0.004973563749343747,0.022653034236363733
9.5 cm,31,0.013640722869562803,0.01282446960463569,0.0060250836600314025,0.026179569106863997
9.5 cm,32,0.016069916763477483,0.015167743893045142,0.007314507651499454,0.03026981292207983
9.5 cm,33,0.01892556661079249,0.017915295982478034,0.008885460320864715,0.0350147564069851
9.5 cm,34,0.022279703772405048,0.02116194438237209,0.010745737067940466,0.04038186054800091
9.5 cm,35,0.026215361274219213,0.024988239674118,0.013011434101392088,0.04663013326089671
9.5 cm,36,0.03082779330335196,0.029476396403256094,0.0157077590104524,0.05370448728189065
