Treatment,length_bin,mean,median,q025,q975
8.9 cm,77,0.5105328669881617,0.5106558773111104,0.49459552055589495,0.526263554998887
8.9 cm,78,0.5108781482597702,0.5110039472865456,0.4950253568789977,0.5265100554565274
8.9 cm,79,0.5111625889936333,0.5112691034978485,0.49538010171203717,0.526674921094732
9.5 cm,51,0.22746169031334357,0.22717821758409873,0.1857740924586294,0.2707721290795863
9.5 cm,52,0.2491082281646668,0.24896647489842036,0.20849626360233856,0.29111037230739745
9.5 cm,53,0.2708837113509425,0.2708798557012878,0.2316670289812086,0.3104048540962054
9.5 cm,54,0.29247278705430874,0.2925026877530239,0.25486518177906,0.3293422614073927
9.5 cm,55,0.3135694795550939,0.3135830471413048,0.27787840022675186,0.3481329881470546
9.5 cm,56,0.3338944327390544,0.33390253831463246,0.3002369637045105,0.36618291230343253
9.5 cm,57,0.3532091261837434,0.3532576136137048,0.32164106021896816,0.38313625015044517
9.5 cm,58,0.3713256017510722,0.37145188708354576,0.341806162730378,0.3992297054191141
9.5 cm,59,0.388111062565645,0.3882099945256063,0.3607032686874725,0.4143357226379135
9.5 cm,60,0.40348754960447464,0.40343297164534075,0.3780342798486275,0.428080094971595
9.5 cm,61,0.4174275650510585,0.4173863976793645,0.3935675478713476,0.4408373358718302
9.5 cm,62,0.4299468853586105,0.43001230913879396,0.4074800139817607,0.45202391335244296
9.5 cm,63,0.44109588180847686,0.44111862333731866,0.4194730280326334,0.46224761468570413
9.5 cm,64,0.45095050996269154,0.45093343653712836,0.4299766768969345,0.4714273770225806
9.5 cm,65,0.45960384271866855,0.45956105199547703,0.4394805567513106,0.4794557589329334
9.5 cm,66,0.4671587000233512,0.46722730008050095,0.4477484742045118,0.4864404890876151
9.5 cm,67,0.4737216392696112,0.4738179180475818,0.45494646988690324,0.4924097663368683
9.5 cm,68,0.4793983487122051,0.47945064686799743,0.46101352483544505,0.49761787438665744
9.5 cm,69,0.4842903398149049,0.48432227577721515,0.4663166105722899,0.5020273509742718
9.5 cm,70,0.4884927544781354,0.4885443126107385,0.47088072478068405,0.5058901966509576
9.5 cm,71,0.4920930734533527,0.4921492149265603,0.47484843748909056,0.5092867334363925
9.5 cm,72,0.49517051592600525,0.49522130292716043,0.4780994521713168,0.5120778622939903
9.5 cm,73,0.4977959428538375,0.4978561789121405,0.48091935192562174,0.5143288978718075
9.5 cm,74,0.5000321076051167,0.5001468323403724,0.48336300475554417,0.5164192381901773
9.5 cm,75,0.5019341298547753,0.5020690433918557,0.4854361961495629,0.518200715963272
9.5 cm,76,0.5035500986181971,0.5036851946171288,0.4872303833763552,0.5196850987679753
9.5 cm,77,0.5049217358756358,0.505048686540787,0.4887485429329972,0.5209034509002832
9.5 cm,78,0.5060850729411214,0.5062332820061575,0.4900560968452109,0.5219336917145555
9.5 cm,79,0.5070711077924791,0.5072221467738727,0.491125481851461,0.5228557272056181
10.2 cm,51,0.18837087530342544,0.18794185559239396,0.14988189816806005,0.2291007596463162
10.2 cm,52,0.2070341108828711,0.20672902509238608,0.16826359507388,0.2471467295556875
10.2 cm,53,0.22627486517271453,0.22602282823314535,0.18751926720859408,0.26570508126567466
10.2 cm,54,0.2458834515232396,0.24572703880400987,0.20803171761570388,0.28382343122909925
10.2 cm,55,0.26563244515862133,0.2654976828128179,0.2292075709017272,0.3025024993834027
10.2 cm,56,0.2852869961753065,0.28513460047529593,0.2500520655947139,0.3197892241600453
10.2 cm,57,0.3046159553687342,0.3044626001978058,0.2708237931133064,0.33727571527975625
10.2 cm,58,0.3234027046471772,0.3232681209314434,0.29159279789547426,0.3545117065939988
10.2 cm,59,0.3414546217299563,0.3412619023518034,0.311314107266027,0.37099205731403584
10.2 cm,60,0.358610326337744,0.3584722393956131,0.33042522889663994,0.38621087858451564
10.2 cm,61,0.37474420009151443,0.3745727908977119,0.3481821884857617,0.40067434185010387
10.2 cm,62,0.38976806472670217,0.3896384322129627,0.36484827118282326,0.4140562860648742
10.2 cm,63,0.4036302605525448,0.4035439062179459,0.3798634581269033,0.426797343076361
10.2 cm,64,0.41631262786308715,0.41623517314558356,0.39417647566163927,0.438441880188191
10.2 cm,65,0.4278260302895945,0.42782712032210085,0.4067671285632225,0.44929468058352
10.2 cm,66,0.43820507601077496,0.4381394682811783,0.4178726190745261,0.45902867889010257
10.2 cm,67,0.44750261850130213,0.44742422730625164,0.42769148757297193,0.46753511486990934
10.2 cm,68,0.45578449085400574,0.45566426761050316,0.4364616477353591,0.47518205954160136
10.2 cm,69,0.4631247823695965,0.4630532660796211,0.44431718528920794,0.48184992116605724
10.2 cm,70,0.46960182981180076,0.4695166988151049,0.45119452653206504,0.4878651097836724
10.2 cm,71,0.47529498413272464,0.47519861574774613,0.4572141259604486,0.49325302922675773
10.2 cm,72,0.4802821324406352,0.4802400719593335,0.4625798530901201,0.49784494489685305
10.2 cm,73,0.4846379034516353,0.48456939370840313,0.46732260694732614,0.5018805971024228
10.2 cm,74,0.4884324577277436,0.48840218174821837,0.47139115410636673,0.5053641681298161
10.2 cm,75,0.49173075535007094,0.49176041684408495,0.47487180576202925,0.5085095072988427
10.2 cm,76,0.4945921972019349,0.49462942569120466,0.4779255699028741,0.511188904135772
10.2 cm,77,0.49707054666215345,0.49716682563342507,0.4805635949440155,0.5134701590199875
10.2 cm,78,0.499214052442467,0.49931899535219404,0.4828047014046346,0.5154397105162343
10.2 cm,79,0.5010657079778825,0.5011892301594156,0.48472874105947134,0.5172085572519033
